customer_id,customer_name,industry,region,company_size,signup_date,sales_channel
37,Mcguire Ltd,Technology,LATAM,Enterprise,2024-09-17,Partner
38,Brown-Macias,Manufacturing,North America,Enterprise,2023-06-21,Self-Service
39,Dougherty-Sparks,Retail,LATAM,Enterprise,2024-04-07,Partner
40,"Duncan, Taylor and Reyes",Manufacturing,APAC,Enterprise,2024-05-27,Direct Sales
41,"Mccoy, Roberts and Avery",Finance,North America,Mid-Market,2024-12-11,Direct Sales
42,Curry PLC,Finance,APAC,Enterprise,2024-10-02,Partner
43,Allen-Fernandez,Retail,APAC,SMB,2024-07-12,Self-Service
44,"Salazar, Smith and Burke",Manufacturing,APAC,SMB,2024-06-09,Partner
45,"Clayton, Phillips and Crawford",Finance,APAC,SMB,2025-05-25,Partner
46,"Chapman, Durham and Sullivan",Manufacturing,APAC,SMB,2024-07-26,Direct Sales
47,"Stokes, Nguyen and Bailey",Retail,EMEA,Mid-Market,2026-03-15,Partner
48,Anderson-Hubbard,Technology,APAC,Enterprise,2025-06-28,Self-Service
49,Rodriguez-Levy,Healthcare,LATAM,SMB,2025-05-06,Self-Service
50,"Underwood, Hendrix and Hayes",Manufacturing,EMEA,SMB,2024-05-20,Direct Sales
51,Wallace-Robertson,Manufacturing,EMEA,Mid-Market,2024-08-21,Self-Service
52,"Johnson, Fowler and Palmer",Manufacturing,LATAM,SMB,2025-09-26,Self-Service
53,"Montgomery, Peterson and Bowers",Finance,North America,Mid-Market,2025-10-11,Direct Sales
54,"Pierce, Osborne and Smith",Technology,APAC,Mid-Market,2023-08-10,Partner
55,Weaver-Long,Healthcare,North America,Mid-Market,2025-04-21,Direct Sales
56,Keller-Mercer,Technology,APAC,SMB,2025-04-24,Partner
57,Medina Group,Healthcare,EMEA,Enterprise,2024-01-16,Direct Sales
58,Osborn-Williams,Manufacturing,EMEA,Mid-Market,2023-09-18,Direct Sales
59,Carr-Snyder,Retail,LATAM,SMB,2024-11-03,Direct Sales
60,"Vargas, Davis and Francis",Healthcare,EMEA,Mid-Market,2025-12-05,Direct Sales
61,"Mathews, Long and Robinson",Technology,APAC,Enterprise,2024-05-17,Direct Sales
62,Ellis-Fry,Manufacturing,LATAM,Mid-Market,2025-11-18,Partner
63,Huffman Inc,Finance,LATAM,Mid-Market,2025-07-02,Partner
64,Chang Ltd,Healthcare,APAC,Mid-Market,2026-05-17,Self-Service
65,Salinas and Sons,Retail,LATAM,Mid-Market,2025-11-08,Direct Sales
66,Cervantes Group,Retail,EMEA,SMB,2025-03-24,Direct Sales
67,"Underwood, Hall and Munoz",Technology,APAC,Mid-Market,2025-02-12,Direct Sales
68,Walker PLC,Manufacturing,EMEA,Enterprise,2025-10-29,Direct Sales
69,Vargas-Tucker,Healthcare,EMEA,Mid-Market,2025-08-01,Direct Sales
70,"Kim, Perez and Williams",Finance,LATAM,Mid-Market,2026-04-15,Self-Service
71,Shaw Group,Technology,APAC,SMB,2024-01-06,Partner
72,Mejia and Sons,Finance,EMEA,SMB,2025-10-25,Direct Sales
73,Sims-Rodriguez,Technology,LATAM,Mid-Market,2023-12-07,Partner
74,"Johnson, Brandt and Gomez",Finance,North America,SMB,2026-02-16,Direct Sales
75,Soto PLC,Manufacturing,North America,Mid-Market,2026-01-31,Self-Service
76,Green-Williams,Finance,North America,Enterprise,2023-11-13,Direct Sales
77,"Kane, Porter and Frederick",Retail,LATAM,Mid-Market,2025-12-30,Self-Service
78,Miller Inc,Finance,EMEA,Mid-Market,2025-04-23,Self-Service
79,"Roberson, Wilson and Clark",Healthcare,APAC,Enterprise,2025-06-09,Self-Service
80,"Grimes, Robles and Francis",Manufacturing,North America,Mid-Market,2025-10-31,Partner
81,Williams-Dunn,Healthcare,LATAM,SMB,2023-07-14,Partner
82,Owens-Snyder,Manufacturing,APAC,SMB,2025-07-09,Partner
83,Peterson-Garza,Technology,North America,Enterprise,2025-11-19,Self-Service
84,"Pena, Wright and Murphy",Finance,LATAM,Mid-Market,2024-08-18,Self-Service
85,"Mcdonald, Allison and Nolan",Manufacturing,LATAM,Enterprise,2024-05-05,Self-Service
86,Lee PLC,Healthcare,APAC,SMB,2024-06-20,Self-Service
87,Thompson and Sons,Finance,North America,Enterprise,2024-05-26,Partner
88,"Wallace, Forbes and Huerta",Technology,APAC,Enterprise,2024-12-20,Direct Sales
89,Forbes-Mccarty,Healthcare,APAC,SMB,2026-04-28,Self-Service
90,Hatfield Group,Manufacturing,EMEA,Enterprise,2025-02-17,Self-Service
91,"Gates, Robinson and Martin",Finance,LATAM,SMB,2024-01-03,Partner
92,Buchanan-Schneider,Healthcare,North America,Mid-Market,2023-10-21,Partner
93,"Johnston, Stone and Washington",Finance,LATAM,Enterprise,2024-08-28,Self-Service
94,Bishop-Donovan,Finance,LATAM,SMB,2026-04-24,Self-Service
95,Rodriguez-Bryan,Technology,North America,Mid-Market,2023-10-02,Direct Sales
96,Baxter-Cardenas,Technology,LATAM,Mid-Market,2024-08-25,Self-Service
97,Brown-Berry,Retail,LATAM,Enterprise,2026-04-25,Direct Sales
98,Turner-Kaiser,Finance,LATAM,Mid-Market,2024-10-15,Self-Service
99,Singleton and Sons,Manufacturing,LATAM,Enterprise,2025-10-08,Partner
100,Hughes Ltd,Finance,LATAM,Mid-Market,2026-02-25,Direct Sales
101,Pennington-Moran,Manufacturing,EMEA,SMB,2024-05-16,Direct Sales
102,"Massey, Mcdonald and Wood",Retail,APAC,SMB,2024-05-08,Self-Service
103,"Huynh, Rojas and Thompson",Healthcare,LATAM,SMB,2025-01-30,Self-Service
104,"Jones, Zimmerman and Green",Technology,LATAM,Enterprise,2025-01-05,Direct Sales
105,Davila Group,Finance,EMEA,SMB,2025-12-12,Partner
106,"Jackson, Welch and Payne",Finance,LATAM,SMB,2025-10-31,Self-Service
107,Mendez-Lawrence,Healthcare,EMEA,Mid-Market,2024-02-25,Self-Service
108,Reeves-Hayes,Retail,EMEA,Mid-Market,2023-06-28,Self-Service
109,Barrett Group,Technology,EMEA,Mid-Market,2023-07-18,Self-Service
110,Blackwell Group,Finance,North America,SMB,2024-08-10,Partner
111,Howard-Sullivan,Technology,APAC,Mid-Market,2026-05-06,Direct Sales
112,Peterson-Walker,Manufacturing,North America,SMB,2026-02-21,Self-Service
113,Jones Group,Technology,EMEA,SMB,2023-06-28,Direct Sales
114,Reyes Group,Healthcare,APAC,SMB,2024-11-07,Direct Sales
115,Wagner Group,Technology,EMEA,Enterprise,2024-02-04,Direct Sales
116,Edwards-Jones,Technology,LATAM,SMB,2024-03-26,Self-Service
117,York PLC,Manufacturing,APAC,Mid-Market,2025-11-18,Self-Service
118,"Murillo, Oliver and Nelson",Manufacturing,EMEA,Enterprise,2024-01-05,Self-Service
119,Rivera-Phelps,Finance,North America,Enterprise,2025-06-11,Direct Sales
120,"Salazar, Johnson and Clark",Manufacturing,EMEA,SMB,2025-11-09,Self-Service
121,Austin-Long,Finance,North America,Enterprise,2023-10-07,Partner
122,"Robinson, Russell and Walsh",Healthcare,North America,SMB,2024-06-23,Self-Service
123,"Smith, Wilson and Harrison",Technology,North America,Enterprise,2024-06-03,Direct Sales
124,Benson PLC,Manufacturing,EMEA,Enterprise,2025-01-12,Partner
125,Johnson-Reynolds,Manufacturing,North America,Mid-Market,2026-04-15,Partner
126,"Martin, Holloway and Faulkner",Finance,EMEA,SMB,2023-11-03,Self-Service
127,"Hunt, Jensen and Cooley",Manufacturing,LATAM,Mid-Market,2024-05-08,Partner
128,Vargas-Brown,Retail,LATAM,Mid-Market,2025-12-21,Direct Sales
129,Ortega Inc,Technology,APAC,SMB,2026-04-24,Direct Sales
130,Blankenship Inc,Retail,APAC,Enterprise,2024-10-01,Self-Service
131,Pruitt-Peterson,Healthcare,APAC,Enterprise,2024-08-20,Partner
132,Evans-Bryan,Finance,LATAM,Mid-Market,2024-09-09,Self-Service
133,Davidson and Sons,Manufacturing,LATAM,Enterprise,2025-10-15,Direct Sales
134,Archer-Gordon,Technology,LATAM,SMB,2024-07-12,Direct Sales
135,"Mathis, Thomas and Johnson",Manufacturing,EMEA,SMB,2026-02-27,Self-Service
136,Turner Inc,Technology,EMEA,SMB,2023-09-03,Direct Sales
137,"Bishop, Ferguson and Lamb",Manufacturing,LATAM,Enterprise,2026-02-13,Direct Sales
138,Ramos-Russell,Healthcare,EMEA,Mid-Market,2023-08-04,Partner
139,Smith-Mercado,Manufacturing,APAC,Mid-Market,2023-06-15,Partner
140,"Galvan, Mitchell and Obrien",Healthcare,EMEA,SMB,2024-11-06,Direct Sales
141,Parker-Williams,Technology,APAC,Enterprise,2024-11-27,Partner
142,Carter-Thomas,Technology,North America,Enterprise,2024-09-14,Direct Sales
143,Bernard LLC,Manufacturing,North America,Mid-Market,2023-10-23,Partner
144,"Chen, Harris and Harper",Manufacturing,LATAM,SMB,2024-07-21,Partner
145,"Roberts, Walker and Wood",Healthcare,APAC,SMB,2026-04-07,Partner
146,Green-Carr,Technology,EMEA,SMB,2024-12-28,Direct Sales
147,Preston-Chaney,Retail,EMEA,Mid-Market,2023-07-15,Partner
148,Shaffer and Sons,Finance,APAC,SMB,2025-11-25,Direct Sales
149,"Lawson, Wood and Wilcox",Manufacturing,LATAM,Mid-Market,2026-04-04,Self-Service
150,"Flores, Green and Mccormick",Finance,APAC,Enterprise,2025-08-03,Partner
151,Williams Ltd,Manufacturing,EMEA,SMB,2025-04-09,Self-Service
152,White Inc,Manufacturing,APAC,SMB,2025-06-19,Direct Sales
153,Hammond-Mason,Finance,EMEA,Mid-Market,2023-08-06,Self-Service
154,Henderson-Casey,Technology,North America,Mid-Market,2024-02-21,Direct Sales
155,Carroll-Richards,Manufacturing,North America,Mid-Market,2023-10-20,Self-Service
156,Nguyen-Bennett,Finance,APAC,Enterprise,2023-09-23,Direct Sales
157,Hamilton Inc,Finance,North America,Enterprise,2024-11-06,Partner
158,Kirk-Martin,Finance,LATAM,Enterprise,2026-03-17,Direct Sales
159,Harvey Group,Healthcare,North America,Mid-Market,2023-09-14,Self-Service
160,"Ramirez, Morgan and Lee",Finance,LATAM,Enterprise,2024-06-09,Self-Service
161,Torres-Lopez,Technology,North America,SMB,2026-03-26,Partner
162,Schaefer-Smith,Finance,LATAM,Enterprise,2024-06-29,Partner
163,Duran-Kirby,Retail,EMEA,Enterprise,2025-02-12,Direct Sales
164,Cole-Martinez,Healthcare,North America,Mid-Market,2023-07-13,Partner
165,Myers-Gomez,Retail,North America,Enterprise,2025-01-01,Partner
166,"Jefferson, Delacruz and Thomas",Finance,North America,Mid-Market,2023-10-20,Self-Service
167,"Kramer, Holt and Leon",Technology,EMEA,Mid-Market,2024-06-19,Direct Sales
168,"Anderson, Williams and Turner",Healthcare,EMEA,Mid-Market,2024-05-09,Self-Service
169,Guerrero-Glover,Retail,EMEA,Enterprise,2023-06-15,Direct Sales
170,Carpenter-Robinson,Technology,North America,Enterprise,2024-01-26,Partner
171,"Elliott, Harrison and Noble",Retail,North America,Enterprise,2023-09-24,Self-Service
172,"Terry, Burke and Douglas",Manufacturing,LATAM,SMB,2024-10-11,Partner
173,Butler-Jones,Retail,LATAM,SMB,2024-04-10,Direct Sales
174,Walton-Rodriguez,Finance,LATAM,Enterprise,2025-03-25,Direct Sales
175,Glenn-Jacobs,Finance,LATAM,SMB,2025-09-01,Direct Sales
176,Valencia-Wheeler,Healthcare,EMEA,SMB,2024-07-03,Direct Sales
177,Massey and Sons,Manufacturing,North America,Mid-Market,2023-08-20,Self-Service
178,Patterson-Larson,Healthcare,North America,SMB,2026-01-26,Self-Service
179,"Smith, Pena and Nguyen",Technology,EMEA,Mid-Market,2025-05-09,Partner
180,Baker-Collins,Manufacturing,EMEA,Enterprise,2024-07-31,Direct Sales
181,Walton-Ruiz,Technology,APAC,SMB,2024-11-23,Self-Service
182,"Johnson, Frey and Cherry",Technology,EMEA,SMB,2024-10-13,Self-Service
183,Reid-Patrick,Healthcare,LATAM,Enterprise,2024-01-20,Direct Sales
184,"Mack, Perkins and Mcdowell",Technology,APAC,Mid-Market,2023-06-13,Direct Sales
185,"Lopez, Scott and Knight",Manufacturing,APAC,Mid-Market,2025-09-14,Partner
186,Orozco-Weaver,Technology,EMEA,Mid-Market,2024-05-06,Partner
187,Coleman-Bass,Technology,LATAM,Mid-Market,2025-01-16,Self-Service
188,Wilson PLC,Technology,LATAM,Enterprise,2023-12-28,Direct Sales
189,"Hayes, Zimmerman and Knox",Manufacturing,LATAM,SMB,2024-07-20,Partner
190,Burton-Smith,Healthcare,North America,Mid-Market,2025-10-05,Direct Sales
191,"Kelley, Kent and Kennedy",Finance,LATAM,Enterprise,2025-09-02,Partner
192,"Cox, Kaiser and Martin",Healthcare,EMEA,Enterprise,2025-02-10,Direct Sales
193,"Rodriguez, Flowers and Cox",Technology,APAC,Enterprise,2024-09-21,Self-Service
194,Hernandez-Ellis,Manufacturing,LATAM,Mid-Market,2023-07-18,Self-Service
195,"Ross, Huynh and Love",Manufacturing,North America,Mid-Market,2025-04-03,Partner
196,"Bradshaw, Craig and Espinoza",Retail,LATAM,SMB,2023-07-25,Direct Sales
197,Berry Group,Healthcare,APAC,Enterprise,2025-05-19,Partner
198,"Romero, Moore and Esparza",Finance,LATAM,Enterprise,2025-04-27,Partner
199,Schultz-Davis,Finance,LATAM,Mid-Market,2025-07-20,Self-Service
200,Jimenez-Freeman,Manufacturing,APAC,SMB,2024-10-29,Self-Service
201,"Bernard, Davis and Williams",Technology,EMEA,SMB,2025-09-19,Partner
202,Vance-Grant,Finance,LATAM,SMB,2024-10-23,Partner
203,"Martinez, Lucas and Mccoy",Retail,North America,Enterprise,2025-01-02,Self-Service
204,Robinson-Hendrix,Technology,EMEA,Enterprise,2024-06-30,Self-Service
205,Aguilar Ltd,Healthcare,North America,Mid-Market,2026-04-17,Direct Sales
206,"Levine, Owens and Rollins",Healthcare,North America,SMB,2024-06-15,Direct Sales
207,Lee LLC,Retail,APAC,SMB,2023-12-25,Direct Sales
208,Haas Ltd,Finance,LATAM,Mid-Market,2024-01-23,Direct Sales
209,"Douglas, Dixon and Castillo",Manufacturing,North America,Mid-Market,2023-06-09,Direct Sales
210,Nelson LLC,Retail,LATAM,SMB,2024-12-06,Self-Service
211,White-Pearson,Healthcare,North America,Enterprise,2025-02-04,Partner
212,Santos-Raymond,Technology,APAC,Mid-Market,2024-11-10,Self-Service
213,Gibson LLC,Finance,APAC,Mid-Market,2025-04-26,Partner
214,"Smith, Hunt and Odonnell",Healthcare,APAC,Enterprise,2024-05-24,Partner
215,Wilson-Watkins,Finance,EMEA,SMB,2024-05-15,Direct Sales
216,Thomas-Allen,Manufacturing,North America,Mid-Market,2026-01-18,Self-Service
217,Burch-Roberson,Technology,EMEA,SMB,2024-10-20,Direct Sales
218,Joseph Ltd,Finance,LATAM,SMB,2026-03-12,Direct Sales
219,Waller and Sons,Healthcare,LATAM,Enterprise,2024-12-14,Partner
220,"Thompson, Cole and Baker",Healthcare,North America,Enterprise,2024-05-01,Partner
221,Robinson-Moore,Technology,LATAM,Mid-Market,2025-10-29,Direct Sales
222,Johnson Inc,Retail,North America,Mid-Market,2024-01-18,Partner
223,Evans-Pope,Retail,North America,SMB,2024-10-06,Partner
224,Lopez-Davis,Manufacturing,EMEA,SMB,2023-07-07,Direct Sales
225,Nguyen-George,Retail,APAC,Enterprise,2024-05-05,Direct Sales
226,"Stanley, Robinson and Santiago",Healthcare,APAC,SMB,2025-08-29,Self-Service
227,Khan Inc,Finance,LATAM,Mid-Market,2023-05-25,Direct Sales
228,"Carter, Alexander and Walker",Retail,EMEA,Enterprise,2024-07-16,Partner
229,"Chaney, Stevens and Palmer",Technology,EMEA,Enterprise,2023-11-07,Direct Sales
230,Wilson Inc,Manufacturing,LATAM,SMB,2024-04-28,Partner
231,"Bishop, Reynolds and Wells",Healthcare,North America,Mid-Market,2024-05-22,Partner
232,"Hernandez, Rice and Stephens",Manufacturing,EMEA,Mid-Market,2026-05-01,Direct Sales
233,Christian Ltd,Technology,APAC,Enterprise,2023-11-01,Partner
234,Sanford and Sons,Manufacturing,APAC,Mid-Market,2026-01-18,Partner
235,Davenport Ltd,Manufacturing,EMEA,Mid-Market,2025-05-14,Self-Service
236,Kirby Group,Manufacturing,APAC,Mid-Market,2025-04-08,Self-Service
237,Tapia Ltd,Retail,APAC,Enterprise,2024-12-20,Partner
238,James Ltd,Technology,LATAM,SMB,2025-02-09,Self-Service
239,Willis PLC,Retail,APAC,Enterprise,2025-06-20,Self-Service
240,Clark PLC,Technology,EMEA,Enterprise,2025-07-25,Partner
241,Boone and Sons,Manufacturing,LATAM,Enterprise,2024-03-05,Self-Service
242,"Lewis, Harrington and Goodman",Retail,North America,SMB,2025-01-26,Direct Sales
243,Lane-Oneal,Retail,North America,Enterprise,2025-11-16,Partner
244,Smith LLC,Finance,APAC,Mid-Market,2024-11-06,Partner
245,"Young, Cook and Cooper",Retail,North America,Enterprise,2024-04-01,Partner
246,Smith Group,Finance,North America,Mid-Market,2023-10-06,Partner
247,"Hanna, Johnson and Nash",Retail,LATAM,SMB,2023-09-27,Partner
248,Bernard LLC,Finance,APAC,SMB,2024-09-30,Direct Sales
249,Park LLC,Finance,EMEA,Enterprise,2026-01-11,Partner
250,"Rodriguez, Johnson and Johnston",Manufacturing,EMEA,Mid-Market,2024-01-18,Partner
251,"Levy, Barker and Garza",Healthcare,EMEA,Mid-Market,2025-04-02,Partner
252,Hall-Delacruz,Manufacturing,EMEA,Enterprise,2024-06-05,Direct Sales
253,"Nunez, Washington and Jones",Finance,North America,SMB,2023-08-19,Self-Service
254,Hall and Sons,Retail,LATAM,Enterprise,2025-02-21,Partner
255,"Sanders, Rodriguez and Moore",Technology,EMEA,Mid-Market,2024-04-02,Direct Sales
256,Johnson Group,Manufacturing,EMEA,Mid-Market,2025-05-12,Direct Sales
257,Cooke-Rivera,Retail,LATAM,SMB,2024-09-15,Direct Sales
258,Garcia-Stout,Healthcare,North America,Mid-Market,2026-04-16,Direct Sales
259,James-Saunders,Healthcare,APAC,Enterprise,2024-01-19,Direct Sales
260,Johnson and Sons,Finance,EMEA,Enterprise,2024-11-13,Self-Service
261,Parker LLC,Healthcare,LATAM,Mid-Market,2024-03-30,Direct Sales
262,Dean-Davis,Technology,LATAM,Enterprise,2025-01-31,Self-Service
263,Price-Johnson,Technology,APAC,Enterprise,2023-08-15,Direct Sales
264,Jones Inc,Technology,APAC,Enterprise,2023-10-29,Direct Sales
265,Bates LLC,Retail,North America,Enterprise,2025-07-24,Self-Service
266,Dean and Sons,Retail,EMEA,Enterprise,2024-06-16,Direct Sales
267,"Wagner, Garza and Gibbs",Technology,North America,Enterprise,2024-01-10,Partner
268,"Peterson, Adams and Ward",Finance,North America,SMB,2025-11-17,Direct Sales
269,"Watkins, Stewart and Hardy",Retail,North America,Enterprise,2025-03-03,Direct Sales
270,King-Stanley,Retail,APAC,SMB,2024-01-01,Partner
271,May Ltd,Healthcare,North America,Mid-Market,2025-09-29,Self-Service
272,Rosales LLC,Technology,EMEA,Mid-Market,2023-11-09,Direct Sales
273,Thomas-Mason,Technology,North America,SMB,2025-11-15,Direct Sales
274,Garza-Velazquez,Finance,LATAM,Enterprise,2023-06-23,Partner
275,Dougherty PLC,Healthcare,LATAM,Enterprise,2026-01-20,Self-Service
276,Travis Inc,Technology,APAC,Enterprise,2024-08-27,Direct Sales
277,"Delacruz, Williamson and Davis",Finance,APAC,Enterprise,2024-08-16,Direct Sales
278,Moore-Beasley,Technology,APAC,Enterprise,2025-12-24,Partner
279,Holland-Pierce,Technology,EMEA,Mid-Market,2023-09-14,Direct Sales
280,Pearson-Davis,Retail,LATAM,SMB,2025-06-02,Direct Sales
281,Martin LLC,Finance,EMEA,Enterprise,2026-01-11,Self-Service
282,Franklin-Simpson,Healthcare,North America,Enterprise,2024-07-19,Self-Service
283,"Key, Newman and Lara",Manufacturing,LATAM,Enterprise,2024-07-31,Partner
284,Rodriguez LLC,Manufacturing,APAC,Mid-Market,2023-06-07,Self-Service
285,Cox Ltd,Technology,APAC,SMB,2023-05-21,Partner
286,"Erickson, Kirby and Patterson",Retail,APAC,Mid-Market,2026-02-26,Self-Service
287,Jensen and Sons,Retail,APAC,Enterprise,2023-08-05,Self-Service
288,Reyes-Jones,Manufacturing,LATAM,SMB,2024-03-06,Partner
289,Thomas-Baird,Healthcare,LATAM,SMB,2024-09-23,Direct Sales
290,"Davis, Garcia and Castaneda",Technology,APAC,Mid-Market,2026-04-30,Direct Sales
291,Rivera PLC,Finance,APAC,SMB,2025-09-07,Self-Service
292,"Giles, Thomas and Rowland",Healthcare,North America,Enterprise,2025-02-20,Direct Sales
293,"Duffy, Greene and Washington",Healthcare,LATAM,Mid-Market,2025-03-01,Partner
294,Aguirre-Jenkins,Retail,APAC,Mid-Market,2024-11-03,Direct Sales
295,Ford Inc,Retail,EMEA,Enterprise,2026-04-10,Partner
296,"Jackson, Parks and Patterson",Technology,LATAM,SMB,2023-08-01,Partner
297,"Harper, Black and Thomas",Finance,APAC,Mid-Market,2025-03-25,Partner
298,Herrera-Armstrong,Technology,North America,Mid-Market,2024-01-06,Partner
299,Bryant and Sons,Technology,EMEA,SMB,2023-12-01,Partner
300,"Collins, Mcfarland and Clark",Finance,North America,Mid-Market,2026-05-01,Partner
301,Rhodes-Hansen,Retail,EMEA,Enterprise,2024-10-25,Direct Sales
302,Bell LLC,Finance,North America,SMB,2024-12-15,Partner
303,Roman-Ortega,Manufacturing,North America,Enterprise,2024-06-28,Self-Service
304,"Moore, Rowe and Hernandez",Manufacturing,North America,Mid-Market,2023-06-26,Direct Sales
305,Welch-Jones,Technology,North America,Enterprise,2024-07-25,Self-Service
306,"Bryant, Snyder and Martinez",Finance,APAC,Enterprise,2025-10-04,Partner
307,"Richardson, Howard and Frederick",Finance,APAC,SMB,2024-03-08,Direct Sales
308,"Garcia, Franklin and Nguyen",Manufacturing,LATAM,Mid-Market,2025-06-08,Partner
309,Lewis-Fisher,Manufacturing,APAC,SMB,2025-06-15,Direct Sales
310,Schultz-Cobb,Manufacturing,LATAM,Enterprise,2025-03-18,Partner
311,Wolfe PLC,Retail,APAC,Enterprise,2025-09-12,Partner
312,Hahn and Sons,Healthcare,North America,Enterprise,2024-02-02,Self-Service
313,Bolton Group,Technology,North America,SMB,2025-09-27,Partner
314,Richardson Group,Retail,APAC,SMB,2024-06-28,Direct Sales
315,Young-Rojas,Healthcare,LATAM,Mid-Market,2025-01-12,Self-Service
316,King-Beck,Healthcare,EMEA,Enterprise,2025-08-18,Self-Service
317,Dickson-Jones,Manufacturing,APAC,SMB,2023-10-11,Direct Sales
318,"Charles, Weaver and Blackburn",Healthcare,LATAM,Mid-Market,2024-09-23,Self-Service
319,Kemp-Nelson,Finance,APAC,Mid-Market,2025-11-03,Direct Sales
320,"Gross, Bailey and Sanchez",Technology,LATAM,SMB,2025-12-21,Partner
321,"Collins, Benson and Lawson",Manufacturing,LATAM,SMB,2025-06-21,Partner
322,Harris-Hale,Technology,North America,Enterprise,2023-07-15,Self-Service
323,Moore-Black,Retail,EMEA,SMB,2025-04-14,Direct Sales
324,Villarreal PLC,Finance,APAC,SMB,2023-08-28,Partner
325,Bennett-Rodriguez,Retail,LATAM,Mid-Market,2023-07-09,Partner
326,Hancock Group,Retail,North America,Mid-Market,2025-07-21,Self-Service
327,Baker PLC,Healthcare,North America,Enterprise,2023-10-26,Direct Sales
328,Moore-Berg,Technology,LATAM,SMB,2025-12-06,Direct Sales
329,Lee-Roman,Finance,APAC,Mid-Market,2023-07-30,Partner
330,Alvarez-Padilla,Manufacturing,North America,Mid-Market,2024-03-26,Self-Service
331,"Ayala, Anderson and Johnson",Manufacturing,EMEA,SMB,2023-11-13,Partner
332,Dennis Ltd,Finance,North America,Enterprise,2024-08-18,Partner
333,"Johnson, Barrera and Cruz",Manufacturing,EMEA,Mid-Market,2024-09-27,Direct Sales
334,"Graham, Jones and Jordan",Retail,EMEA,Enterprise,2024-05-28,Partner
335,Martin Ltd,Retail,APAC,SMB,2024-08-11,Direct Sales
336,Ballard-Hall,Manufacturing,APAC,SMB,2023-09-03,Self-Service
337,"Norton, Anderson and Jackson",Finance,North America,SMB,2025-12-26,Self-Service
338,Wright LLC,Retail,LATAM,SMB,2024-11-15,Direct Sales
339,"Vaughn, Campbell and Crane",Manufacturing,EMEA,Enterprise,2023-12-07,Partner
340,Austin Ltd,Retail,LATAM,Mid-Market,2024-03-09,Partner
341,Wilson Inc,Finance,LATAM,SMB,2025-07-17,Direct Sales
342,"Sullivan, Bryant and Church",Technology,North America,Enterprise,2024-05-22,Self-Service
343,Hoffman-Gibson,Healthcare,APAC,Enterprise,2024-08-13,Self-Service
344,Griffin Group,Retail,EMEA,SMB,2023-09-03,Self-Service
345,Reyes-Goodwin,Technology,EMEA,Mid-Market,2023-11-22,Direct Sales
