date,customer_id,product_line,arr,mrr,bookings,expansion_revenue,contraction_revenue,churned_revenue,new_business_revenue,renewal_revenue
2023-01-01,39,Enterprise,77153,6429.42,41435,7953,3614,0,22916,14891
2023-01-01,40,Core Platform,20464,1705.33,17430,5604,6960,0,16100,23644
2023-01-01,41,Core Platform,66644,5553.67,18381,2759,5578,0,27863,4817
2023-01-01,42,Enterprise,137084,11423.67,16506,8303,7236,0,6846,15716
2023-01-01,43,Analytics,38289,3190.75,44806,10415,2859,0,10494,14374
2023-01-01,44,AI Suite,89841,7486.75,28666,6212,6534,0,1482,21728
2023-01-01,45,Core Platform,141192,11766.0,6352,19528,5941,0,14314,33295
2023-01-01,46,Core Platform,51646,4303.83,11737,7061,2176,0,9585,7654
2023-01-01,47,Analytics,138919,11576.58,33456,627,3103,0,23063,11526
2023-01-01,48,Security,125377,10448.08,10109,1840,3232,0,10374,2557
2023-01-01,49,Security,119511,9959.25,21281,15696,5020,0,20160,17265
2023-01-01,50,Enterprise,13892,1157.67,13058,18159,4267,98388,9215,23879
2023-01-01,51,Enterprise,36969,3080.75,26819,2986,562,0,15484,8463
2023-01-01,52,Enterprise,28307,2358.92,27595,18122,5635,0,26590,33794
2023-01-01,53,Analytics,7728,644.0,2780,6024,4763,0,28643,33954
2023-01-01,54,Security,64900,5408.33,44001,19739,6731,0,22330,37583
2023-01-01,55,AI Suite,106340,8861.67,26396,882,9157,0,17123,3291
2023-01-01,56,Core Platform,32116,2676.33,43929,7914,3370,0,6263,15457
2023-01-01,57,Security,84124,7010.33,5504,8162,9554,0,7762,13806
2023-01-01,58,Enterprise,74307,6192.25,21831,15151,8911,0,7718,7925
2023-01-01,59,Core Platform,99976,8331.33,26939,9631,1121,0,28775,2342
2023-01-01,60,AI Suite,74359,6196.58,42549,8228,8533,0,10812,25574
2023-01-01,61,Core Platform,108453,9037.75,7269,17395,3013,0,19345,17172
2023-01-01,62,Enterprise,40094,3341.17,22469,13295,4283,0,12141,37814
2023-01-01,63,Core Platform,100236,8353.0,7091,15919,8773,0,6191,37636
2023-01-01,64,AI Suite,147602,12300.17,25479,12353,4960,0,9032,34805
2023-01-01,65,Security,83445,6953.75,11546,4541,8077,0,10755,36248
2023-01-01,66,Security,28870,2405.83,44136,12776,6310,0,15422,18270
2023-01-01,67,Enterprise,39829,3319.08,1754,12362,4026,0,758,19315
2023-01-01,68,Analytics,69764,5813.67,44318,10086,8712,0,5095,37091
2023-01-01,69,Core Platform,8935,744.58,4857,1459,3673,0,12944,21697
2023-01-01,70,Core Platform,90308,7525.67,10104,19741,3543,0,18911,6052
2023-01-01,71,Core Platform,101649,8470.75,20992,17068,4930,0,12457,29964
2023-01-01,72,Analytics,74083,6173.58,21616,16012,9202,0,16810,27762
2023-01-01,73,Core Platform,80520,6710.0,22243,8217,6620,0,1515,11072
2023-01-01,74,Enterprise,17317,1443.08,21021,566,9298,0,5885,29431
2023-01-01,75,Security,88392,7366.0,49813,611,7443,0,847,27641
2023-01-01,76,Enterprise,114005,9500.42,43553,9429,1147,0,21028,31513
2023-01-01,77,Core Platform,7902,658.5,12195,2974,8058,0,6175,8244
2023-01-01,78,Analytics,67299,5608.25,27023,7221,1896,0,16691,12918
2023-01-01,79,Analytics,114088,9507.33,45975,7784,7638,0,6687,17542
2023-01-01,80,Core Platform,44464,3705.33,30263,6584,7406,0,21360,20552
2023-01-01,81,Enterprise,91599,7633.25,42191,15094,5608,0,21632,5823
2023-01-01,82,Security,71279,5939.92,21117,8988,4185,0,21547,36846
2023-01-01,83,Security,115714,9642.83,21649,10526,171,0,20098,24837
2023-01-01,84,Core Platform,124207,10350.58,3966,1200,2659,0,3240,8654
2023-01-01,85,Analytics,119723,9976.92,14126,960,1825,0,17828,29328
2023-01-01,86,Enterprise,84879,7073.25,23566,6542,2318,0,13032,2586
2023-01-01,87,Security,105864,8822.0,16751,18675,4046,0,25010,22153
2023-01-01,88,Analytics,34839,2903.25,37095,11893,8663,0,29774,15814
2023-01-01,89,Enterprise,22024,1835.33,24520,13882,5983,0,20572,15420
2023-01-01,90,Core Platform,43925,3660.42,48724,1332,4956,0,9552,4323
2023-01-01,91,Security,15643,1303.58,32350,13997,9536,0,10647,28685
2023-01-01,92,Security,43479,3623.25,13864,14255,8678,0,21028,12271
2023-01-01,93,Analytics,34546,2878.83,11385,19798,4121,0,12099,34638
2023-01-01,94,Analytics,143359,11946.58,18188,17039,7233,0,28497,11469
2023-01-01,95,Enterprise,64460,5371.67,38114,534,4303,0,4137,30314
2023-01-01,96,Enterprise,11020,918.33,31177,2490,6147,0,1222,32694
2023-01-01,97,AI Suite,69875,5822.92,23872,1471,3500,0,1750,16581
2023-01-01,98,Analytics,45010,3750.83,24854,8199,8789,0,16069,11563
2023-01-01,99,Core Platform,130165,10847.08,34969,6760,4717,0,15544,33044
2023-01-01,100,Enterprise,93999,7833.25,28148,16104,9167,0,22539,20299
2023-01-01,101,Enterprise,134961,11246.75,1038,542,8037,0,24683,18375
2023-01-01,102,Core Platform,69753,5812.75,41935,19083,8036,0,21001,31987
2023-01-01,103,Security,69854,5821.17,24405,19710,7952,0,12899,4819
2023-01-01,104,Analytics,114304,9525.33,7040,12835,1342,0,2180,19036
2023-01-01,105,Core Platform,23540,1961.67,13608,14494,6607,0,21928,35074
2023-01-01,106,Core Platform,128662,10721.83,30300,1159,408,0,18565,10980
2023-01-01,107,AI Suite,31953,2662.75,3427,1292,4828,0,9202,18454
2023-01-01,108,Security,91384,7615.33,22220,9056,2210,0,12479,39881
2023-01-01,109,Core Platform,142038,11836.5,19542,13400,5538,0,21994,29841
2023-01-01,110,Core Platform,118789,9899.08,37826,6737,4527,0,23741,22301
2023-01-01,111,Security,40545,3378.75,35359,2419,3391,0,18575,6670
2023-01-01,112,Analytics,61950,5162.5,36530,11696,1185,0,26201,2620
2023-01-01,113,Analytics,56127,4677.25,22727,11265,4568,0,20787,17655
2023-01-01,114,AI Suite,37487,3123.92,16127,2628,7044,0,3916,15556
2023-01-01,115,AI Suite,124821,10401.75,5272,16567,5195,0,23640,1114
2023-01-01,116,AI Suite,16009,1334.08,5480,3847,2819,0,27873,38924
2023-01-01,117,AI Suite,122494,10207.83,24375,5679,812,0,7458,39775
2023-01-01,118,Security,66503,5541.92,46752,5232,7940,0,27843,35442
2023-01-01,119,AI Suite,102939,8578.25,39171,3738,5798,0,23415,12606
2023-01-01,120,Enterprise,143606,11967.17,27089,19153,8983,0,1413,16451
2023-01-01,121,Analytics,136051,11337.58,11279,11097,4542,0,123,7459
2023-01-01,122,Core Platform,79083,6590.25,10148,10761,2304,0,21323,27739
2023-01-01,123,Security,66468,5539.0,9220,176,6760,0,16633,18480
2023-01-01,124,Enterprise,98323,8193.58,4438,17652,5481,0,11421,32532
2023-01-01,125,Core Platform,36930,3077.5,9181,9895,4699,0,11476,34889
2023-01-01,126,AI Suite,73352,6112.67,25082,10018,9396,0,23173,39802
2023-01-01,127,Enterprise,77698,6474.83,46774,11933,9215,0,17821,37859
2023-01-01,128,Core Platform,126394,10532.83,14723,2590,130,0,9402,8310
2023-01-01,129,Core Platform,135463,11288.58,48883,18944,4297,0,12162,38228
2023-01-01,130,Security,52296,4358.0,47287,2251,638,0,5572,26936
2023-01-01,131,Analytics,42026,3502.17,49275,4571,8105,0,15395,19839
2023-01-01,132,Security,39163,3263.58,26276,9724,4802,0,5403,28560
2023-01-01,133,Enterprise,94755,7896.25,13161,13144,4076,0,21272,14911
2023-01-01,134,AI Suite,126256,10521.33,10675,3116,6157,0,4558,38129
2023-01-01,135,Security,41718,3476.5,38208,238,32,0,8729,32935
2023-01-01,136,Core Platform,125772,10481.0,38060,19292,758,0,16596,7223
2023-01-01,137,Enterprise,78717,6559.75,16738,17622,3533,0,9479,24377
2023-01-01,138,AI Suite,94295,7857.92,3272,17525,2264,0,29244,8633
2023-01-01,139,Core Platform,77739,6478.25,16106,191,2061,0,20576,4479
2023-01-01,140,Enterprise,70639,5886.58,46889,5947,9755,0,29501,4755
2023-01-01,141,Analytics,64010,5334.17,6562,5881,1965,0,29370,27707
2023-01-01,142,Core Platform,82187,6848.92,33094,17685,1081,0,15829,28622
2023-01-01,143,Analytics,50926,4243.83,14027,4048,2133,0,238,33445
2023-01-01,144,Enterprise,93730,7810.83,25243,4545,9228,0,28951,16532
2023-01-01,145,Core Platform,113534,9461.17,30727,10022,6850,0,11100,20110
2023-01-01,146,Security,79305,6608.75,23127,9907,2984,0,7613,27823
2023-01-01,147,Security,126659,10554.92,29041,8794,4028,0,6063,21248
2023-01-01,148,Security,80126,6677.17,43806,172,9333,0,10437,36128
2023-01-01,149,AI Suite,27173,2264.42,23469,18481,2642,0,28129,7539
2023-01-01,150,Core Platform,60709,5059.08,29905,12245,115,0,10542,7750
2023-01-01,151,Analytics,138309,11525.75,10294,11617,4867,0,17003,10293
2023-01-01,152,Enterprise,89998,7499.83,49708,17650,23,0,19238,23063
2023-01-01,153,Security,43291,3607.58,20658,16119,5504,0,15662,23921
2023-01-01,154,Analytics,151579,12631.58,26536,14014,5271,0,13281,26118
2023-01-01,155,AI Suite,120026,10002.17,1491,2275,545,0,8568,16320
2023-01-01,156,Enterprise,47676,3973.0,22140,18924,8762,0,13673,29948
2023-01-01,157,Core Platform,142201,11850.08,14739,17405,3801,0,21028,14490
2023-01-01,158,Analytics,7975,664.58,41107,5998,5354,0,3906,30286
2023-01-01,159,Enterprise,75115,6259.58,12468,13553,9439,0,20641,17824
2023-01-01,160,Security,125167,10430.58,29945,15024,2614,0,6953,15409
2023-01-01,161,Analytics,164269,13689.08,49722,17546,1417,0,21880,25440
2023-01-01,162,AI Suite,123836,10319.67,4766,1980,685,0,14815,13260
2023-01-01,163,AI Suite,26789,2232.42,46783,16036,1670,0,29336,18427
2023-01-01,164,Analytics,43452,3621.0,9521,19869,6246,0,3997,19023
2023-01-01,165,Enterprise,13129,1094.08,5737,13630,5815,0,372,36382
2023-01-01,166,Security,148404,12367.0,6316,10352,4682,0,10897,31533
2023-01-01,167,Core Platform,63218,5268.17,2163,17368,8372,0,28200,19497
2023-01-01,168,Enterprise,33342,2778.5,16157,1981,24,0,20998,2668
2023-01-01,169,Core Platform,60689,5057.42,45544,12283,880,0,12361,33041
2023-01-01,170,Analytics,84179,7014.92,29079,13555,2469,0,5868,9823
2023-01-01,171,Enterprise,137447,11453.92,24958,9821,3786,0,13729,3388
2023-01-01,172,Core Platform,95701,7975.08,19375,9236,1888,0,12245,13272
2023-01-01,173,AI Suite,74050,6170.83,41576,553,1568,0,17589,15298
2023-01-01,174,AI Suite,60330,5027.5,36027,19349,6923,0,28511,2689
2023-01-01,175,Analytics,36429,3035.75,35966,5763,2217,0,15159,21376
2023-01-01,176,Enterprise,113629,9469.08,45139,12360,3439,0,24028,6045
2023-01-01,177,Analytics,79071,6589.25,23536,16297,6568,0,11053,21970
2023-01-01,178,Core Platform,62605,5217.08,26228,6380,7028,0,10649,2988
2023-01-01,179,Analytics,114414,9534.5,20087,11302,7995,0,22093,33238
2023-01-01,180,Analytics,158750,13229.17,30697,12510,2136,0,23141,16293
2023-01-01,181,AI Suite,102562,8546.83,9475,14312,2250,0,21257,18985
2023-01-01,182,AI Suite,21797,1816.42,26172,9595,5729,0,7540,34285
2023-01-01,183,Enterprise,102281,8523.42,31692,8422,4673,0,21886,26239
2023-01-01,184,Analytics,118083,9840.25,2663,6099,5334,0,17702,6891
2023-01-01,185,Analytics,32768,2730.67,32275,599,9794,0,14349,5479
2023-01-01,186,Security,119943,9995.25,48105,13435,8033,0,26140,24103
2023-01-01,187,Core Platform,120115,10009.58,23062,18161,9321,0,22261,35186
2023-01-01,188,Security,89917,7493.08,31292,15282,8018,0,5364,7921
2023-01-01,189,Analytics,6515,542.92,23343,121,2738,0,8089,29501
2023-01-01,190,Analytics,81604,6800.33,43806,1789,354,0,3049,18402
2023-01-01,191,AI Suite,150049,12504.08,36923,13414,6089,0,6122,10385
2023-01-01,192,Core Platform,30806,2567.17,46830,13522,6548,0,28303,2620
2023-01-01,193,Security,82262,6855.17,25306,3426,5964,0,14197,15697
2023-01-01,194,Core Platform,16612,1384.33,20160,5894,1541,0,18714,38457
2023-01-01,195,Analytics,107450,8954.17,6296,19421,9799,0,25039,33232
2023-01-01,196,AI Suite,97965,8163.75,25480,131,3776,0,16927,33248
2023-01-01,197,Analytics,90790,7565.83,32785,5580,9760,0,16386,4415
2023-01-01,198,AI Suite,135030,11252.5,29233,18503,3752,0,26745,12133
2023-01-01,199,Security,90035,7502.92,47887,7058,9777,0,16261,663
2023-01-01,200,AI Suite,34624,2885.33,38766,3120,671,0,14438,39563
2023-01-01,201,AI Suite,25181,2098.42,1447,19652,919,0,18370,8027
2023-01-01,202,Core Platform,138650,11554.17,31154,7516,4028,0,5215,9999
2023-01-01,203,Enterprise,57066,4755.5,10297,17547,9739,0,21615,21798
2023-01-01,204,AI Suite,56637,4719.75,27252,15792,8335,0,898,31675
2023-01-01,205,Core Platform,81772,6814.33,48937,5388,8538,0,2165,22126
2023-01-01,206,AI Suite,88839,7403.25,33783,13230,41,0,12827,38846
2023-01-01,207,Core Platform,26189,2182.42,10987,11911,7772,0,28450,12801
2023-01-01,208,AI Suite,143384,11948.67,41572,18833,4875,0,3161,32578
2023-01-01,209,AI Suite,75703,6308.58,11650,17078,6253,0,29200,4923
2023-01-01,210,Enterprise,43685,3640.42,31214,12596,1080,0,5862,5824
2023-01-01,211,Enterprise,40785,3398.75,3381,9685,4240,0,14077,36705
2023-01-01,212,Enterprise,128356,10696.33,7545,14665,8680,0,15002,32979
2023-01-01,213,Analytics,139843,11653.58,40877,1813,3920,0,19308,10152
2023-01-01,214,Enterprise,20931,1744.25,24671,8148,4053,0,25863,11493
2023-01-01,215,Security,109767,9147.25,1059,1275,1306,0,10859,211
2023-01-01,216,Core Platform,14609,1217.42,20406,8843,2594,0,28814,11908
2023-01-01,217,Security,140467,11705.58,34731,1311,7673,0,9880,9217
2023-01-01,218,Security,123962,10330.17,4107,4498,7783,0,21370,36466
2023-01-01,219,Analytics,110695,9224.58,47015,316,3884,0,24162,25409
2023-01-01,220,Security,54513,4542.75,4790,9097,3373,0,8529,6005
2023-01-01,221,Core Platform,141602,11800.17,32179,15043,9160,0,18867,31983
2023-01-01,222,Analytics,147792,12316.0,8856,7872,5918,0,12147,25424
2023-01-01,223,AI Suite,49489,4124.08,38488,12743,8619,0,442,30669
2023-01-01,224,Analytics,25986,2165.5,22407,11829,6955,0,19869,37117
2023-01-01,225,Core Platform,87820,7318.33,8344,8538,1325,0,25164,21755
2023-01-01,226,Core Platform,78507,6542.25,29787,4510,6229,0,2186,30707
2023-01-01,227,AI Suite,51736,4311.33,15049,471,1167,0,2360,9495
2023-01-01,228,Core Platform,115827,9652.25,35954,8118,2119,0,26030,2375
2023-01-01,229,Analytics,96100,8008.33,15772,19795,361,0,21086,15225
2023-01-01,230,AI Suite,19131,1594.25,22786,43,3176,0,29483,23443
2023-01-01,231,Security,70101,5841.75,44028,12419,1830,0,5820,4564
2023-01-01,232,Core Platform,93997,7833.08,5653,12944,2258,0,12971,20537
2023-01-01,233,Analytics,94367,7863.92,35344,6353,654,0,11268,35746
2023-01-01,234,Analytics,66452,5537.67,10032,15070,7505,0,1722,2373
2023-01-01,235,Analytics,111176,9264.67,7876,16602,9062,0,24997,15767
2023-01-01,236,Core Platform,11962,996.83,9435,7502,1969,0,7727,17594
2023-01-01,237,Enterprise,117678,9806.5,38357,9749,1704,0,23277,38482
2023-01-01,238,Enterprise,64217,5351.42,18013,10137,4663,0,26628,31214
2023-01-01,239,Core Platform,95982,7998.5,25141,7992,9782,0,10224,17896
2023-01-01,240,AI Suite,108240,9020.0,20872,3894,9780,0,593,1422
2023-01-01,241,AI Suite,129570,10797.5,12348,9591,9805,0,10841,12585
2023-01-01,242,Security,49685,4140.42,17872,4305,3514,0,20847,6167
2023-01-01,243,Analytics,142548,11879.0,39826,15154,1765,0,20226,11915
2023-01-01,244,AI Suite,63948,5329.0,41233,3064,8819,0,11266,37132
2023-01-01,245,Enterprise,125978,10498.17,27690,4932,3373,0,20704,212
2023-01-01,246,AI Suite,33135,2761.25,26260,16188,3582,0,12916,12229
2023-01-01,247,AI Suite,142647,11887.25,44075,10801,6753,0,29532,3109
2023-01-01,248,Analytics,113370,9447.5,11777,2699,2193,0,523,38707
2023-01-01,249,Core Platform,25217,2101.42,32815,18138,9922,0,6779,25187
2023-01-01,250,Security,114924,9577.0,23607,8675,5876,0,29997,2380
2023-01-01,251,Security,18500,1541.67,28705,16341,6164,0,14262,31424
2023-01-01,252,Security,68972,5747.67,16143,17691,5110,0,12368,31801
2023-01-01,253,Security,55648,4637.33,28782,17402,7377,0,18869,22236
2023-01-01,254,Core Platform,109152,9096.0,26386,14992,4400,0,16091,27571
2023-01-01,255,Enterprise,63482,5290.17,13562,9262,3045,0,24241,34092
2023-01-01,256,Analytics,132209,11017.42,29679,10547,4112,0,24254,5569
2023-01-01,257,Security,23912,1992.67,3810,7494,6176,0,21767,37742
2023-01-01,258,Analytics,125901,10491.75,41337,12007,884,0,28754,9601
2023-01-01,259,Enterprise,92668,7722.33,14484,8771,4625,0,1834,32705
2023-01-01,260,Security,89152,7429.33,26531,5942,2301,0,29714,12948
2023-01-01,261,Analytics,124969,10414.08,40641,14200,9298,0,5695,5783
2023-01-01,262,Security,141258,11771.5,11779,2340,248,0,2989,23807
2023-01-01,263,Enterprise,88808,7400.67,4635,422,1804,0,27116,6067
2023-01-01,264,Core Platform,23964,1997.0,49510,8768,3920,0,16531,29595
2023-01-01,265,AI Suite,138738,11561.5,46525,17319,2584,0,27443,30450
2023-01-01,266,AI Suite,30601,2550.08,46375,2818,1869,0,10054,1667
2023-01-01,267,Core Platform,28488,2374.0,27848,480,4492,0,29079,33482
2023-01-01,268,Core Platform,114384,9532.0,44727,9060,2102,0,28371,30278
2023-01-01,269,Analytics,149057,12421.42,26832,8800,4955,0,17600,1914
2023-01-01,270,Enterprise,155282,12940.17,41951,13291,925,0,14488,2051
2023-01-01,271,AI Suite,0,0.0,15249,500,8777,0,29453,22687
2023-01-01,272,Core Platform,127769,10647.42,45201,927,8324,0,1056,32729
2023-01-01,273,Enterprise,114999,9583.25,15451,3133,1861,0,25989,34817
2023-01-01,274,Analytics,20526,1710.5,11117,6594,9161,0,20081,14097
2023-01-01,275,Analytics,62267,5188.92,6700,2265,5798,0,12671,37304
2023-01-01,276,Enterprise,102996,8583.0,27801,1761,4244,0,18017,26721
2023-01-01,277,AI Suite,138171,11514.25,3957,5512,947,0,24737,4735
2023-01-01,278,Enterprise,128406,10700.5,38501,19694,8127,0,3584,2477
2023-01-01,279,AI Suite,41498,3458.17,36886,11562,4016,0,25566,19272
2023-01-01,280,Enterprise,110382,9198.5,7632,2246,7254,0,5282,10153
2023-01-01,281,AI Suite,108069,9005.75,12067,10449,9600,0,10372,26864
2023-01-01,282,Security,73376,6114.67,26325,17032,9368,0,29320,15588
2023-01-01,283,Security,67950,5662.5,45987,15834,3019,0,6113,20323
2023-01-01,284,AI Suite,104968,8747.33,28532,17006,1546,0,2631,24689
2023-01-01,285,Analytics,137364,11447.0,26783,1150,3383,0,22872,23663
2023-01-01,286,Core Platform,72630,6052.5,7721,10201,9694,0,10804,32513
2023-01-01,287,Security,75484,6290.33,26166,14477,2709,0,11406,31133
2023-01-01,288,Security,66211,5517.58,1063,9545,8678,0,16513,22779
2023-01-01,289,AI Suite,115783,9648.58,20952,4436,4252,0,8425,31454
2023-01-01,290,Enterprise,31118,2593.17,17657,14198,9183,0,973,10119
2023-01-01,291,Core Platform,57373,4781.08,45699,5316,7962,0,19638,14417
2023-01-01,292,Core Platform,81552,6796.0,21813,11832,4419,0,16031,38259
2023-01-01,293,Analytics,67474,5622.83,5927,3453,8496,0,22814,18446
2023-01-01,294,AI Suite,67321,5610.08,14822,4014,4779,0,1244,23514
2023-01-01,295,Core Platform,138689,11557.42,33063,5354,435,0,3454,39474
2023-01-01,296,Core Platform,32176,2681.33,6660,4593,8938,0,23583,30237
2023-01-01,297,Analytics,12299,1024.92,15354,2578,9415,0,12752,8133
2023-01-01,298,Enterprise,88766,7397.17,19500,18038,9153,0,14559,4367
2023-01-01,299,AI Suite,71830,5985.83,42821,9234,8995,0,23249,34191
2023-01-01,300,Enterprise,35195,2932.92,6763,11243,8943,0,5470,688
2023-01-01,301,Security,105283,8773.58,5401,5073,9431,0,6794,33657
2023-01-01,302,Security,50635,4219.58,38663,6982,2176,0,4998,2615
2023-01-01,303,Security,41850,3487.5,2973,4421,9731,0,12217,38905
2023-01-01,304,Security,143609,11967.42,29101,18063,3850,0,26092,1042
2023-01-01,305,Core Platform,90543,7545.25,42660,1314,3542,0,8464,7157
2023-01-01,306,Enterprise,55828,4652.33,41417,7031,4118,0,19188,10656
2023-01-01,307,Analytics,67949,5662.42,6221,9963,7348,0,9535,25666
2023-01-01,308,Security,32219,2684.92,40350,10326,8927,0,42,21920
2023-01-01,309,Analytics,47326,3943.83,30936,970,1989,0,6192,26660
2023-01-01,310,Security,9063,755.25,14651,2497,9173,0,13043,6614
2023-01-01,311,AI Suite,7148,595.67,42086,16256,9108,14865,7177,26995
2023-01-01,312,Enterprise,132464,11038.67,40501,5275,718,0,6464,22989
2023-01-01,313,AI Suite,17657,1471.42,24712,3490,5685,0,21814,22603
2023-01-01,314,Analytics,115328,9610.67,7394,19767,5656,0,13905,2430
2023-01-01,315,Analytics,70589,5882.42,14769,3396,7044,0,23011,35350
2023-01-01,316,AI Suite,29684,2473.67,11465,7245,7345,0,10502,4108
2023-01-01,317,Enterprise,102772,8564.33,4942,14749,8765,0,27869,28625
2023-01-01,318,AI Suite,122965,10247.08,48510,2630,3949,0,10389,7287
2023-01-01,319,AI Suite,88674,7389.5,15173,6483,2072,0,27204,496
2023-01-01,320,Core Platform,31194,2599.5,11271,17571,3767,0,16339,18751
2023-01-01,321,Security,34091,2840.92,4742,3615,4590,0,9183,19805
2023-01-01,322,Enterprise,82704,6892.0,20223,818,3447,0,18382,3202
2023-01-01,323,Enterprise,121186,10098.83,38364,10535,1652,0,29198,11150
2023-01-01,324,AI Suite,82950,6912.5,9474,14394,8790,0,20186,31007
2023-01-01,325,Core Platform,94024,7835.33,44508,2609,3276,0,15927,37882
2023-01-01,326,Enterprise,44628,3719.0,9308,74,5526,0,10572,30541
2023-01-01,327,Core Platform,83120,6926.67,9745,10823,5288,0,27482,33881
2023-01-01,328,Core Platform,104070,8672.5,32222,1442,50,0,17411,8317
2023-01-01,329,Enterprise,133920,11160.0,5675,19912,6203,0,27704,39194
2023-01-01,330,Enterprise,103656,8638.0,40839,10047,5187,0,6790,5980
2023-01-01,331,Analytics,100772,8397.67,47374,10176,7232,0,4657,32593
2023-01-01,332,Core Platform,137695,11474.58,14732,8277,8131,0,1313,12895
2023-01-01,333,Analytics,56359,4696.58,49357,14912,3858,0,10326,15606
2023-01-01,334,Analytics,156784,13065.33,31088,12557,2216,0,3692,26419
2023-01-01,335,Enterprise,83382,6948.5,13089,13661,1444,0,11884,27063
2023-01-01,336,Analytics,108415,9034.58,32395,3170,7023,0,23772,9325
2023-01-01,337,Security,8306,692.17,13884,5171,4288,0,4721,5962
2023-01-01,338,Enterprise,11545,962.08,26247,16643,5098,86870,22500,30987
2023-01-01,339,Analytics,94872,7906.0,19921,18060,4647,0,25283,8289
2023-01-01,340,AI Suite,125681,10473.42,37865,18627,5482,0,955,10931
2023-01-01,341,Core Platform,133862,11155.17,39729,19476,6710,0,120,22251
2023-01-01,342,AI Suite,10434,869.5,2236,140,4185,0,16354,7915
2023-01-01,343,Analytics,39198,3266.5,22121,6474,3635,0,27240,1072
2023-01-01,344,Enterprise,105831,8819.25,38282,5217,9786,0,5119,8308
2023-01-01,345,Enterprise,37945,3162.08,47747,9142,4937,0,23615,38594
2023-01-01,346,Core Platform,14867,1238.92,23257,11966,9904,0,4751,24187
2023-01-01,347,Security,65892,5491.0,43440,2158,5359,0,3318,32422
2023-01-01,348,AI Suite,15387,1282.25,5853,12053,9743,0,24091,2664
2023-01-01,349,Core Platform,40480,3373.33,23510,15888,1314,0,7165,15198
2023-01-01,350,Security,26470,2205.83,34264,17883,9359,0,25655,1219
2023-01-01,351,Core Platform,87771,7314.25,28368,9928,1946,0,20895,14320
2023-01-01,352,Security,37042,3086.83,24370,1278,6082,0,14299,39150
2023-01-01,353,Analytics,132305,11025.42,4251,3103,9407,0,7772,13947
2023-01-01,354,Security,103223,8601.92,27670,16848,7780,0,4627,7162
2023-01-01,355,Security,74496,6208.0,25137,17452,9319,0,16382,18629
2023-01-01,356,Security,106212,8851.0,22941,10169,4094,0,15472,14581
